 stage   name      force      lambda0     lambda1  dA/dlambda 
  13      16      1.5820      0.6000      0.6500     -0.9916 
  13      17      2.8910      0.6000      0.6500     -2.2496 
  13      18      1.7171      0.6000      0.6500     -1.0785 
  13      19      1.4875      0.6000      0.6500     -1.6818 
  13      20      0.4189      0.6000      0.6500     -0.6172 
  13      21      0.3983      0.6000      0.6500     -0.7803 
  13      22      0.1897      0.6000      0.6500     -0.9264 
  14       1      0.6186      0.6500      0.7000     -2.0696 
  14       2      0.7947      0.6500      0.7000     -1.3668 
  14       3      0.6594      0.6500      0.7000     -1.9288 
  14       4      0.3228      0.6500      0.7000     -1.2085 
  14       5      0.4026      0.6500      0.7000     -0.6852 
  14       6      0.4362      0.6500      0.7000     -1.8201 
  14       7      1.0167      0.6500      0.7000     -1.4897 
  14       8      0.3567      0.6500      0.7000     -0.7025 
  14       9      0.6000      0.6500      0.7000     -1.5928 
  14      10      0.2391      0.6500      0.7000     -0.5889 
  14      11      0.2808      0.6500      0.7000     -1.2443 
  14      12      0.1623      0.6500      0.7000     -0.8275 
  14      13      0.3192      0.6500      0.7000     -0.9956 
  14      15      0.2967      0.6500      0.7000     -0.4583 
  14      16      1.3560      0.6500      0.7000     -1.0923 
  14      17      2.4780      0.6500      0.7000     -2.3630 
  14      18      1.4718      0.6500      0.7000     -1.1727 
  14      19      1.2750      0.6500      0.7000     -1.8091 
  14      20      0.3591      0.6500      0.7000     -0.7653 
  14      21      0.3414      0.6500      0.7000     -0.9006 
  14      22      0.1626      0.6500      0.7000     -0.8306 
  15       1      0.5155      0.7000      0.7500     -2.2025 
  15       2      0.6623      0.7000      0.7500     -1.5753 
  15       3      0.5495      0.7000      0.7500     -2.0252 
  15       4      0.2690      0.7000      0.7500     -1.4503 
  15       5      0.3355      0.7000      0.7500     -0.8477 
  15       6      0.3635      0.7000      0.7500     -2.6861 
  15       7      0.8472      0.7000      0.7500     -2.2755 
  15       8      0.2973      0.7000      0.7500     -0.6682 
  15       9      0.5000      0.7000      0.7500     -1.6684 
  15      10      0.1993      0.7000      0.7500     -0.7592 
  15      11      0.2340      0.7000      0.7500     -1.7715 
  15      12      0.1353      0.7000      0.7500     -1.0062 
  15      13      0.2660      0.7000      0.7500     -1.1538 
  15      15      0.2472      0.7000      0.7500     -0.5186 
  15      16      1.1300      0.7000      0.7500     -1.4735 
  15      17      2.0650      0.7000      0.7500     -2.4933 
  15      18      1.2265      0.7000      0.7500     -1.2434 
  15      19      1.0625      0.7000      0.7500     -1.8711 
  15      20      0.2993      0.7000      0.7500     -0.8115 
  15      21      0.2845      0.7000      0.7500     -0.7680 
  15      22      0.1355      0.7000      0.7500     -0.8537 
  16       1      0.4124      0.7500      0.8000     -2.6824 
  16       2      0.5298      0.7500      0.8000     -1.8156 
  16       3      0.4396      0.7500      0.8000     -2.1377 
  16       4      0.2152      0.7500      0.8000     -1.6621 
  16       5      0.2684      0.7500      0.8000     -0.8706 
  16       6      0.2908      0.7500      0.8000     -2.2578 
  16       7      0.6778      0.7500      0.8000     -1.9968 
  16       8      0.2378      0.7500      0.8000     -0.9455 
  16       9      0.4000      0.7500      0.8000     -2.0324 
  16      10      0.1594      0.7500      0.8000     -0.8155 
  16      11      0.1872      0.7500      0.8000     -1.8304 
  16      12      0.1082      0.7500      0.8000     -0.9215 
  16      13      0.2128      0.7500      0.8000     -1.1074 
  16      15      0.1978      0.7500      0.8000     -0.6174 
  16      16      0.9040      0.7500      0.8000     -1.4041 
  16      17      1.6520      0.7500      0.8000     -2.8601 
  16      18      0.9812      0.7500      0.8000     -1.2847 
  16      19      0.8500      0.7500      0.8000     -2.3652 
  16      20      0.2394      0.7500      0.8000     -0.8658 
  16      21      0.2276      0.7500      0.8000     -1.2350 
  16      22      0.1084      0.7500      0.8000     -0.9031 
  17       1      0.3093      0.8000      0.8500     -2.6691 
  17       2      0.3973      0.8000      0.8500     -2.0301 
  17       3      0.3297      0.8000      0.8500     -2.3481 
  17       4      0.1614      0.8000      0.8500     -1.6189 
  17       5      0.2013      0.8000      0.8500     -0.9329 
  17       6      0.2181      0.8000      0.8500     -2.9211 
  17       7      0.5083      0.8000      0.8500     -2.3657 
  17       8      0.1784      0.8000      0.8500     -1.0259 
  17       9      0.3000      0.8000      0.8500     -2.7162 
  17      10      0.1196      0.8000      0.8500     -0.8469 
  17      11      0.1404      0.8000      0.8500     -1.8201 
  17      12      0.0811      0.8000      0.8500     -1.0962 
  17      13      0.1596      0.8000      0.8500     -1.3245 
  17      15      0.1484      0.8000      0.8500     -0.8252 
  17      16      0.6780      0.8000      0.8500     -1.2885 
  17      17      1.2390      0.8000      0.8500     -3.2753 
  17      18      0.7359      0.8000      0.8500     -1.6020 
  17      19      0.6375      0.8000      0.8500     -2.8320 
  17      20      0.1795      0.8000      0.8500     -0.9463 
  17      21      0.1707      0.8000      0.8500     -1.0900 
  17      22      0.0813      0.8000      0.8500     -0.8875 
  18       1      0.2062      0.8500      0.9000     -3.2892 
  18       2      0.2649      0.8500      0.9000     -2.4989 
  18       3      0.2198      0.8500      0.9000     -2.5586 
  18       4      0.1076      0.8500      0.9000     -2.1441 
  18       5      0.1342      0.8500      0.9000     -1.1163 
  18       6      0.1454      0.8500      0.9000     -3.5681 
  18       7      0.3389      0.8500      0.9000     -2.5443 
  18       8      0.1189      0.8500      0.9000     -1.2916 
